formula,elements,formation_energy,decomposition_energy,band_gap,density,dimensionality,delta_hull
DyEr4Be3P9Ir19,"['Be', 'P', 'Dy', 'Er', 'Ir']",-0.8264,-0.0856,0.0015,14.6371,intercalated ion,0.0856
GdYSiCO7,"['C', 'O', 'Si', 'Y', 'Gd']",-3.2806,-0.0351,,5.0319,3D,0.0351
Tb5Dy3(LuSn3)2,"['Sn', 'Tb', 'Dy', 'Lu']",-0.7187,-0.0073,,8.5657,3D,0.0073
La5Ho13(ThSn8)2,"['Sn', 'La', 'Ho', 'Th']",-0.7644,-0.0351,,8.1745,,0.0351
Pr4Ga10IrPd5,"['Ga', 'Pd', 'Pr', 'Ir']",-0.7836,-0.0728,0.0147,8.4374,3D,0.0728
DyEr3(Sn2O7)2,"['O', 'Sn', 'Dy', 'Er']",-3.0311,0.0001,,7.9285,,0.0001
Ca2Nb2FeNi9As7,"['Ca', 'Fe', 'Ni', 'As', 'Nb']",-0.5639,-0.0431,0.0036,7.4722,intercalated ion,0.0431
Dy18Y2(Bi3Sb)3,"['Y', 'Sb', 'Dy', 'Bi']",-0.7853,-0.0216,0.004,9.4753,3D,0.0216
ErTh3ScRu3,"['Sc', 'Ru', 'Er', 'Th']",-0.5127,-0.054,0.0042,10.8484,3D,0.054
Nd8Zn5Ga(HgRh4)2,"['Zn', 'Ga', 'Rh', 'Nd', 'Hg']",-0.6606,-0.0309,0.0059,9.1476,3D,0.0309
NdTh3Al9(Ga3Ir2)3,"['Al', 'Ga', 'Nd', 'Ir', 'Th']",-0.764,-0.0177,,9.7296,3D,0.0177
Ho10PPb6Cl,"['P', 'Cl', 'Ho', 'Pb']",-0.8518,-0.0517,0.0037,10.1519,3D,0.0517
Dy2Ho6Cd2CoRu,"['Co', 'Ru', 'Cd', 'Dy', 'Ho']",-0.3006,-0.0087,,9.2338,3D,0.0087
Tb7ZrTi5Si16W7,"['Si', 'Ti', 'Zr', 'Tb', 'W']",-0.6938,-0.09,0.0033,8.5968,3D,0.09
Y6Ho2Sc11Si16Au,"['Si', 'Sc', 'Y', 'Ho', 'Au']",-0.8276,-0.0249,0.0001,4.5556,3D,0.0249
Er3Tm7CdSb5,"['Cd', 'Sb', 'Er', 'Tm']",-0.8211,-0.0009,0.0025,9.294,3D,0.0009
HoTm2Pa(Ga3Ir)6,"['Ga', 'Ho', 'Tm', 'Ir', 'Pa']",-0.635,-0.0289,0.0027,11.0185,3D,0.0289
KSr2(SnP)6,"['P', 'K', 'Sr', 'Sn']",-0.4299,-0.0267,0.0074,4.6381,intercalated ion,0.0267
La3Nd3HoPt3,"['La', 'Nd', 'Ho', 'Pt']",-0.7799,-0.0033,0.0017,9.0151,3D,0.0033
Y6Ho10Cd4IrPd3,"['Y', 'Pd', 'Cd', 'Ho', 'Ir']",-0.4832,-0.0078,0.0011,8.1678,3D,0.0078
